"year","date","party_s","party_rv","party_k","party_cd","party_nb","party_rfb","party_krp","party_sf","party_g","party_h","party_la","party_sap","party_kd","party_dkp","party_ml","party_lc","party_m","party_min","party_ff","party_df","party_sk","party_fk","party_p","party_fg","party_kap","party_ds","party_sp","party_u","party_demf","party_v","party_vs","party_fp","party_dd","party_el","party_alt","independents","total_valid","blank","other_invalid","total_invalid","total_votes","electorate"
1953,"1953-09-22",894913,169295,364960,NA,NA,75449,NA,NA,NA,NA,NA,NA,NA,93824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9721,58573,NA,499656,NA,NA,NA,NA,NA,0,2166391,3655,1990,5645,2172036,2695554
1957,"1957-05-14",910170,179822,383843,NA,NA,122759,NA,NA,NA,NA,NA,NA,NA,72315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9202,53061,NA,578932,NA,NA,NA,NA,NA,71,2310175,7692,3230,10922,2321097,2772159
1960,"1960-11-15",1023794,140979,435764,NA,NA,52330,NA,149440,NA,NA,NA,NA,NA,27298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9058,81134,NA,512041,NA,NA,NA,NA,NA,109,2431947,4882,3107,7989,2439936,2842336
1964,"1964-09-22",1103667,139702,527798,NA,NA,34258,NA,151697,NA,NA,NA,NA,NA,32390,NA,NA,NA,NA,9070,NA,NA,NA,NA,NA,NA,9747,9274,65756,NA,547770,NA,NA,NA,NA,NA,255,2631384,5918,3554,9472,2640856,3088269
1966,"1966-11-22",1068911,203858,522028,NA,NA,19905,NA,304437,NA,NA,NA,NA,NA,21553,NA,69180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44994,NA,539027,NA,NA,NA,NA,NA,114,2794007,5152,3145,8297,2802304,3162352
1968,"1968-01-23",974833,427304,581051,NA,NA,21124,NA,174553,NA,NA,NA,NA,NA,29706,NA,37407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6831,14360,NA,530167,57184,NA,NA,NA,NA,127,2854647,6799,3359,10158,2864805,3208646
1971,"1971-09-21",1074777,413620,481335,NA,NA,50231,NA,262756,NA,NA,NA,NA,NA,39564,NA,57072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6743,NA,NA,450904,45979,NA,NA,NA,NA,919,2883900,14117,6079,20196,2904096,3332044
1973,"1973-12-04",783145,343117,279391,236784,NA,87904,NA,183522,NA,NA,NA,NA,123573,110715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,374283,44843,485289,NA,NA,NA,637,3053203,11424,5626,17050,3070253,3460737
1975,"1975-01-09",913155,216553,168164,66316,NA,50095,NA,150963,NA,NA,NA,NA,162734,127837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,711298,63579,414219,NA,NA,NA,539,3045452,13334,5516,18850,3064302,3477621
1977,"1977-02-15",1150355,113330,263262,200347,NA,102149,NA,120357,NA,NA,NA,NA,106082,114022,NA,NA,NA,NA,NA,NA,NA,NA,26889,NA,NA,NA,NA,NA,NA,371728,83667,453792,NA,NA,NA,317,3106297,13850,4820,18670,3124967,3522904
1979,"1979-10-23",1213456,172365,395653,102132,NA,83238,NA,187284,NA,NA,NA,NA,82133,58901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13070,NA,NA,NA,NA,396484,116047,349243,NA,NA,NA,996,3171002,18552,4791,23343,3194345,3730650
1981,"1981-12-08",1026726,160053,451478,258522,NA,45174,NA,353373,NA,NA,NA,2034,72174,34625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4223,NA,NA,NA,NA,353280,82711,278383,NA,NA,NA,807,3123563,15289,4592,19881,3143444,3775333
1984,"1984-01-10",1062561,184642,788224,154553,NA,50381,NA,387122,NA,NA,NA,2151,91623,23085,978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,405737,89356,120461,NA,NA,NA,956,3361830,19731,4992,24723,3386553,3829604
1987,"1987-09-08",985906,209086,700886,161070,NA,16359,NA,490176,45076,5675,NA,1808,79664,28974,987,NA,NA,NA,NA,NA,NA,72631,NA,NA,NA,NA,NA,NA,NA,354291,46141,160461,NA,NA,NA,3366,3362557,20289,6355,26644,3389201,3907454
1988,"1988-05-10",992682,185707,642048,155464,NA,NA,NA,433261,44960,NA,NA,NA,68047,27439,NA,NA,NA,NA,NA,NA,NA,63263,NA,NA,NA,NA,NA,NA,NA,394190,20303,298132,NA,NA,NA,3633,3329129,18222,5300,23522,3352651,3911897
1990,"1990-12-12",1211121,114888,517293,165556,NA,17181,NA,268759,27642,793,NA,NA,74174,NA,NA,NA,NA,NA,NA,NA,NA,57896,NA,NA,NA,NA,NA,NA,NA,511643,NA,208484,NA,54038,NA,10194,3239662,20039,5719,25758,3265420,3941499
1994,"1994-09-21",1150048,152701,499845,94496,NA,NA,NA,242398,NA,NA,NA,NA,61507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,775176,NA,214057,NA,104701,NA,32668,3327597,24965,8075,33040,3360637,3988787
1998,"1998-03-11",1223620,131254,303965,146802,NA,NA,NA,257406,NA,NA,NA,NA,85656,NA,NA,NA,NA,NA,NA,252429,NA,NA,NA,NA,NA,NA,NA,NA,10768,817894,NA,82437,NA,91933,NA,1833,3405997,18430,7499,25929,3431926,3993099
2001,"2001-11-20",1003323,179023,312770,61031,NA,NA,NA,219842,NA,NA,NA,NA,78793,NA,NA,NA,NA,NA,NA,413987,NA,NA,NA,NA,NA,NA,NA,NA,NA,1077858,NA,19340,NA,82685,NA,1016,3449668,25677,9570,35247,3484915,3998957
2005,"2005-02-08",867349,308212,344886,33880,NA,NA,NA,201047,NA,NA,NA,NA,58071,NA,NA,NA,NA,8850,NA,444947,NA,NA,NA,NA,NA,NA,NA,NA,NA,974636,NA,NA,NA,114123,NA,1211,3357212,19478,7870,27348,3384560,4003616
2007,"2007-11-13",881037,177161,359404,NA,NA,NA,NA,450975,NA,NA,97295,NA,30013,NA,NA,NA,NA,NA,NA,479532,NA,NA,NA,NA,NA,NA,NA,NA,NA,908472,NA,NA,NA,74982,NA,549,3459420,15738,8375,24113,3483533,4022920
2011,"2011-09-15",879615,336698,175047,NA,NA,NA,NA,326192,NA,NA,176585,NA,28070,NA,NA,NA,NA,NA,NA,436726,NA,NA,NA,NA,NA,NA,NA,NA,NA,947725,NA,NA,NA,236860,NA,1850,3545368,22815,11492,34307,3579675,4079910
2015,"2015-06-18",924940,161009,118003,NA,NA,NA,NA,147578,NA,NA,265129,NA,29077,NA,NA,NA,NA,NA,NA,741746,NA,NA,NA,NA,NA,NA,NA,NA,NA,685188,NA,NA,NA,274463,168788,3066,3518987,29920,11153,41073,3560060,4145105
2019,"2019-06-05",914882,304714,233865,NA,83201,NA,29600,272304,NA,NA,82270,NA,60944,NA,NA,NA,NA,NA,NA,308513,63114,NA,NA,NA,NA,NA,NA,NA,NA,826161,NA,NA,NA,245100,104278,2774,3531720,27781,10020,37801,3569521,4219537
